Category,Item,Serving Size,Weight (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Toppings,Mozzarella Cheese,Per 1 Pizza,20,60,4,2.5,0.1,15,90,1,0,0,6,0,0,10,0
Toppings,Mozzarella Cheese Small,1 slice = 1/6 pizza,6,20,1,1,0.0,4,27,0,0,0,1.7,0,0,3,0
Toppings,Mozzarella Cheese Medium,1 slice = 1/8 pizza,8,25,2,1,0.1,6,38,0,0,0,2.3,0,0,4,0
Toppings,Mozzarella Cheese Large,1 slice = 1/12 pizza,8,25,2,1,0.0,5,37,0,0,0,2.3,0,0,4,0
Toppings,Cheddar Cheese,Per 1 Pizza,14,50,5,2.5,0,15,90,0,0,0,3,0,0,8,0
Toppings,Cheddar Cheese Small,1 slice = 1/6 pizza,5,20,2,1,0.0,6,35,0,0,0,1.2,0,0,3,0
Toppings,Cheddar Cheese Medium,1 slice = 1/8 pizza,7,30,3,1,0.1,8,46,0,0,0,1.6,0,0,4,0
Toppings,Cheddar Cheese Large,1 slice = 1/12 pizza,6,25,2,1,0.1,8,43,0,0,0,1.5,0,0,3,0
Toppings,Feta Cheese,Per 1 Pizza,19,50,4,2.5,0,15,270,1,0,0,4,0,0,8,0
Toppings,Feta Cheese Small,1 slice = 1/6 pizza,7,20,1,1,0.0,5,93,0,0,0,1.3,0,0,3,0
Toppings,Feta Cheese Medium,1 slice = 1/8 pizza,9,25,2,1,0.1,6,128,0,0,0,1.9,0,0,4,0
Toppings,Feta Cheese Large,1 slice = 1/12 pizza,8,25,2,1,0.0,6,116,0,0,0,1.8,0,0,3,0
Toppings,Bacon,Per 1 Pizza,19,60,5,1.5,0,20,240,0,0,0,5,0,2,0,0
Toppings,Bacon Small,1 slice = 1/6 pizza,7,20,2,1,0.0,7,80,0,0,0,1.8,0,1,0,0
Toppings,Bacon Medium,1 slice = 1/8 pizza,9,30,2,1,0.0,8,105,0,0,0,2.3,0,1,0,1
Toppings,Bacon Large,1 slice = 1/12 pizza,8,25,2,1,0.0,8,96,0,0,0,2.1,0,1,0,0
Toppings,Beef,Per 1 Pizza,18,40,2.5,1.5,0,10,110,1,1,0,3,0,0,0,2
Toppings,Beef Small,1 slice = 1/6 pizza,6,15,1,1,0.0,3,38,0,0,0,1.2,0,0,0,1
Toppings,Beef Medium,1 slice = 1/8 pizza,10,20,1,1,0.0,5,58,0,0,0,1.8,0,0,1,1
Toppings,Beef Large,1 slice = 1/12 pizza,9,20,1,1,0.0,5,54,0,0,0,1.7,0,0,1,1
Toppings,Pepperoni Slices,Per 1 Pizza,7,30,2.5,1,0,5,70,0,0,0,1,0,0,0,0
Toppings,Pepperoni Slices Small,1 slice = 1/6 pizza,3,15,1,0,0.0,3,30,0,0,0,0.7,0,0,0,0
Toppings,Pepperoni Slices Medium,1 slice = 1/8 pizza,4,20,2,1,0.0,3,40,0,0,0,0.9,0,0,0,1
